,ydstogo,yardline_100,play_type,half_seconds_remaining,score_differential,fg_prob,td_prob
77,6,50.0,2,1086.0,9.0,0.3243419134086105,0.3545770341762016
78,4,59.0,2,858.0,16.0,0.2523345516963515,0.3510627572884397
80,1,1.0,1,537.0,-23.0,0.1971956780252916,0.7440814537461439
81,11,76.0,1,162.0,7.0,0.0871502878093763,0.12671244763917752
83,12,21.0,2,1618.0,0.0,0.5427354483398277,0.3170740056529299
86,1,24.0,1,648.0,-11.0,0.40662417462837,0.4592100407228356
88,5,77.0,2,493.0,8.0,0.1296171241194733,0.22832603492618364
91,3,59.0,1,195.0,-8.0,0.15673471431865127,0.2377441864049821
98,7,54.0,2,493.0,-7.0,0.2604720092478301,0.29702947282363024
99,6,39.0,2,409.0,-7.0,0.3443682558738025,0.3237030516202104
100,1,5.0,1,301.0,-7.0,0.4747176240032733,0.40357405783005057
101,10,81.0,1,80.0,7.0,0.07935242856392752,0.07426808079150607
105,1,16.0,2,1255.0,10.0,0.4637281615186,0.4549360190542432
121,6,85.0,2,664.0,7.0,0.11050755646844364,0.21001709753452028
124,10,62.0,2,50.0,-10.0,0.1482400348414796,0.10351505588230256
126,2,52.0,2,1263.0,-3.0,0.2882216869614516,0.4188969468251815
127,7,25.0,1,1090.0,-3.0,0.4952549481044216,0.3546983250318215
130,5,73.0,2,528.0,7.0,0.15192923546146747,0.25133313799437346
131,3,38.0,2,310.0,7.0,0.31125739738222963,0.3401418555123891
133,1,55.0,1,41.0,3.0,0.161606071607858,0.17426135621398334
135,4,14.0,2,1418.0,6.0,0.5390057073827468,0.3681438283089378
