,shotgun,no_huddle,ydstogo,yardline_100,half_seconds_remaining,pass_length,score_differential,fg_prob,td_prob,ep,third_down_converted
32057,1,0,10,33.0,1354.0,2,-24.0,0.4572410533823552,0.3381966366082765,2.674587337941878,0.0
32058,1,0,9,73.0,1264.0,1,24.0,0.1836144839076725,0.2590482268485978,-0.5370973117953615,1.0
32059,0,0,8,35.0,1157.0,2,24.0,0.4354530411980792,0.3520729811666965,2.6891136281317367,1.0
32060,1,0,10,84.0,897.0,2,-27.0,0.12439691715449465,0.20504272490486,-1.4439918867415185,0.0
32061,1,0,3,52.0,684.0,2,27.0,0.2798641309829306,0.3757654062444283,2.0445741434296494,1.0
32062,1,0,3,40.0,544.0,2,27.0,0.34125692569412797,0.3821122135067818,2.736869614889837,1.0
32064,1,0,7,73.0,1728.0,1,0.0,0.1805945060799526,0.2668223133338568,-0.5261814381008479,1.0
32065,1,0,7,53.0,1641.0,2,0.0,0.30814431954038063,0.33500408190616426,1.3760957256226858,1.0
32066,1,0,1,52.0,1114.0,2,-14.0,0.26972628125632603,0.4634957383244652,2.7135588712711547,1.0
32067,1,0,9,9.0,770.0,2,7.0,0.5808144315372958,0.3651037380591929,4.093702310958965,0.0
32069,1,0,5,53.0,159.0,2,-24.0,0.18347551021948785,0.22511830293460786,1.1638482636653762,1.0
32070,1,0,7,20.0,76.0,1,-24.0,0.47310544474491,0.18757472106033904,2.554278320095274,1.0
32071,1,0,20,86.0,1753.0,1,-14.0,0.11719163841672504,0.1651880112508753,-2.3008882598977944,1.0
32073,1,0,15,15.0,1357.0,2,20.0,0.6617269762225623,0.28799807655847515,3.760605152732516,0.0
32074,1,0,4,69.0,1293.0,1,-23.0,0.20011563546680392,0.3210079985711036,0.35605581230562056,0.0
32075,1,0,5,75.0,1188.0,2,-29.0,0.16897849857130093,0.28301097064293,-0.3321160498837425,1.0
32077,1,0,15,54.0,809.0,2,29.0,0.3044132884944262,0.2875148342879756,1.026102040301192,0.0
32078,0,0,5,5.0,564.0,2,29.0,0.4702578525343924,0.4658007155121365,4.479922100215252,0.0
32081,0,0,1,2.0,1451.0,2,0.0,0.533060068516303,0.4188596889242642,4.286634952344895,0.0
32082,1,0,5,71.0,1146.0,2,-14.0,0.19033041635630304,0.30001038797466656,0.06267835731368576,0.0
32083,1,0,4,51.0,1020.0,2,14.0,0.30766266176088325,0.3765210890181041,1.991524437052332,1.0
32084,1,0,16,53.0,671.0,2,-21.0,0.302644271426107,0.2782901072726377,1.0724647361586677,0.0
32085,0,0,3,51.0,334.0,2,21.0,0.2346119847424853,0.31324376340384114,1.7944278731979857,0.0
32086,1,0,18,44.0,279.0,1,21.0,0.2969891440033256,0.2336773379855362,1.4261052718247131,0.0
32089,1,0,6,54.0,53.0,2,21.0,0.1905604253905088,0.13261316084651348,1.1308964514038344,1.0
32090,1,0,15,15.0,15.0,2,21.0,0.5981827842146055,0.15714841139664756,2.8244062743382794,0.0
32096,1,0,3,84.0,1456.0,2,0.0,0.12414862714251562,0.2675059723577516,-0.9390355841322392,0.0
32097,1,0,8,50.0,1385.0,2,0.0,0.3321892161381459,0.33651496966633754,1.6140871315830954,0.0
32098,1,0,10,80.0,1190.0,2,0.0,0.14648497448998238,0.2251077620416274,-1.2285042986069952,0.0
32099,1,0,6,58.0,1093.0,2,0.0,0.2711085954447013,0.33533524121618824,1.164722187094964,0.0
32100,0,0,20,64.0,588.0,2,-7.0,0.21988931436532325,0.22793383229285785,0.04017246215086634,0.0
32101,1,0,13,57.0,400.0,2,0.0,0.2321041841628057,0.2402492131476289,0.7802962738631063,0.0
32102,1,0,9,65.0,302.0,2,0.0,0.16080903163355248,0.2059802763759387,0.3453243310135634,0.0
32103,1,0,7,77.0,120.0,2,-7.0,0.07545802259480396,0.12408789091136675,-0.1862082601377784,1.0
32104,1,0,2,55.0,75.0,2,-7.0,0.18267446679385407,0.1671416166261226,1.368192813612538,1.0
32105,1,0,15,57.0,41.0,2,-7.0,0.17537508488316178,0.10305247964810192,0.8341657377030999,0.0
32106,1,0,10,63.0,1628.0,2,13.0,0.24519126786206505,0.28615941889500496,0.2493872425579209,1.0
32107,1,0,13,39.0,1511.0,2,13.0,0.4223288485954146,0.320772592123507,2.158734291030377,0.0
32108,1,0,8,78.0,1417.0,2,-16.0,0.15583002618692046,0.2431519115478742,-0.9881536725578336,1.0
32109,1,0,11,23.0,1162.0,2,-16.0,0.5253545872708844,0.327286793414508,3.1216988551297487,0.0
32110,1,0,9,91.0,921.0,2,-13.0,0.09638391865392197,0.18135351277550266,-1.9639734913612823,0.0
32111,1,0,13,52.0,808.0,2,13.0,0.3165847019363437,0.2998555266539405,1.2700100105303207,0.0
32112,1,0,13,83.0,708.0,1,-13.0,0.12298457037109745,0.1886410384322884,-1.3679927286870006,0.0
32114,1,0,7,9.0,369.0,2,-13.0,0.5452865814364551,0.31119868238502985,3.458885912255382,0.0
32115,1,0,10,63.0,243.0,2,-19.0,0.15867645082293522,0.19254840445339275,0.4081481253189231,0.0
32116,1,1,12,85.0,163.0,2,-26.0,0.06171666663522065,0.10103365299870824,-0.7067481363360726,0.0
32117,1,0,10,80.0,1728.0,2,0.0,0.14492395885171758,0.21936297934572027,-1.4038393030626912,0.0
32118,0,0,16,65.0,1651.0,2,0.0,0.2357317029885753,0.25385095150960396,-0.2317948910231901,0.0
32119,1,0,9,79.0,1369.0,2,0.0,0.15124637282748116,0.2334323372273775,-1.136846326342123,0.0
32120,0,0,2,2.0,1013.0,2,0.0,0.3104423373893277,0.6427095238557092,5.2313879015276346,0.0
32121,1,0,15,85.0,920.0,2,-3.0,0.1210431235849661,0.1840440644253244,-1.758204684786148,0.0
32122,1,0,13,75.0,735.0,1,-3.0,0.16359649791997566,0.22157241885333992,-0.7280127660930513,0.0
32123,1,0,11,81.0,496.0,2,-6.0,0.11590141349493742,0.1803553289572152,-0.9292547859899358,0.0
32125,1,0,6,49.0,222.0,2,6.0,0.2284123739383128,0.2519247343910768,1.4442736675283705,1.0
32126,1,0,19,48.0,113.0,2,6.0,0.2763703827401175,0.13337895871494684,1.3336533494648215,0.0
32127,0,0,4,87.0,1664.0,2,9.0,0.11194592460038506,0.2347285407550267,-1.4636181266637651,1.0
32128,1,0,9,58.0,1511.0,1,9.0,0.2782675114475918,0.3091749545962706,0.8170885168244355,1.0
32129,1,0,10,21.0,1352.0,2,9.0,0.5355722200691106,0.3290755908836995,3.2118747076551317,0.0
32130,1,0,6,76.0,1243.0,2,-12.0,0.16499821893578187,0.26843461504064675,-0.5622808823229006,1.0
32132,1,0,6,23.0,816.0,2,12.0,0.494730541932127,0.3589972429447124,3.3414497305215316,0.0
32134,0,0,12,82.0,467.0,2,15.0,0.10912130787353226,0.1690891039590092,-1.0045124996482977,1.0
32137,1,0,4,74.0,1750.0,2,0.0,0.17158649331058504,0.2935652791326867,-0.2678742130891951,1.0
32138,1,0,10,67.0,1705.0,2,0.0,0.21881920565271729,0.27108439590454464,-0.15981206164336004,0.0
32139,1,0,8,32.0,1432.0,2,0.0,0.4570411460751447,0.350060822865915,2.8135489410856085,0.0
