,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,down,score_differential,fg_prob,td_prob,ep,third_down_converted
1109,0,0,7,15.0,pass,1271.0,3.0,3.0,0.5565283536659439,0.33975310093133004,3.520142643246814,0.0
1110,1,1,8,43.0,pass,1404.0,3.0,-6.0,0.3813859235251963,0.34653863672707913,2.143638831408633,0.0
1111,1,0,10,44.0,pass,682.0,3.0,0.0,0.3602364242228925,0.3218696479369889,1.994816400030249,0.0
1112,1,0,10,25.0,pass,640.0,3.0,-3.0,0.4898584885759948,0.3266673365817431,3.0313816764573875,0.0
1113,1,0,7,61.0,pass,915.0,3.0,0.0,0.2500726509641466,0.3140129893558303,0.8364491779022909,0.0
1114,1,0,7,61.0,pass,1674.0,3.0,0.0,0.25410914245752697,0.3123394851420029,0.6452024910106664,1.0
1115,1,0,7,63.0,pass,1675.0,3.0,3.0,0.241146149945341,0.3057054576963857,0.4557830631301083,1.0
1116,1,0,6,62.0,pass,1553.0,3.0,0.0,0.2462922107619337,0.319906044741206,0.6826398545708177,0.0
1117,1,0,8,78.0,pass,1754.0,3.0,0.0,0.1542425409246459,0.2384035117386377,-1.0937376910130068,0.0
1118,1,0,3,50.0,pass,1615.0,3.0,1.0,0.3103627550518111,0.39358093674080397,2.120492988132086,0.0
1119,1,0,10,20.0,pass,1413.0,3.0,-9.0,0.5419152061336715,0.3273024967678271,3.239685882430808,1.0
1120,1,0,14,79.0,pass,1275.0,3.0,-7.0,0.15256571807599606,0.2127523551960807,-1.3629178456381492,0.0
1121,1,0,10,14.0,pass,8.0,3.0,-5.0,0.4936839544203715,0.16432995530884614,2.4905227748896257,0.0
1122,1,0,1,71.0,pass,1514.0,3.0,2.0,0.17432791623712166,0.3973489460997712,1.056642900916088,0.0
1123,1,0,4,84.0,pass,238.0,3.0,-14.0,0.07170708308445403,0.14941780749101571,-0.40953431689072217,0.0
1124,1,1,1,10.0,pass,94.0,3.0,-16.0,0.5008470382229714,0.2689428972663084,3.2808934267755734,1.0
1125,1,0,6,69.0,pass,927.0,3.0,0.0,0.19980877871854788,0.2943307241449708,0.19722550162382446,0.0
1126,1,0,4,74.0,pass,1371.0,3.0,-3.0,0.1729746675121266,0.2991130716719578,-0.14857627625179906,0.0
1127,1,0,8,80.0,pass,1240.0,3.0,-13.0,0.14592627952876144,0.2360214293744305,-1.1138784497068517,0.0
1128,1,0,2,71.0,pass,1725.0,3.0,0.0,0.1814362807846816,0.34916418750044725,0.5027101067018136,1.0
1129,1,0,12,56.0,pass,214.0,3.0,-32.0,0.19144280927293264,0.1998786855930866,0.7451009318580375,0.0
1130,1,0,7,74.0,pass,745.0,3.0,-9.0,0.1662323830060504,0.2564245067825953,-0.29405100802742856,0.0
1131,1,0,7,31.0,pass,1311.0,3.0,4.0,0.4588464050769817,0.35832946029867363,2.9389000507622898,1.0
1132,1,1,5,45.0,pass,19.0,3.0,-3.0,0.23076406037377256,0.14600378409348044,1.4293365124204809,1.0
1133,1,0,5,75.0,pass,932.0,3.0,-8.0,0.16576945144954508,0.2796434097172838,-0.2466218006744185,0.0
1134,1,0,8,41.0,pass,1195.0,3.0,-3.0,0.3945473271349258,0.3496323129883619,2.3172053876936327,0.0
1135,1,0,8,93.0,pass,894.0,3.0,7.0,0.0887937678219999,0.17730197603835526,-2.0344017129137963,1.0
